STORE NUMBER,Store Name,UPC,SKU,Name,Manufacturer,Segment,Yes/No
476,FOOD MAXX,3354400173,,PACIFICO 18/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095308,,PACIFICO 24/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400015,,PACIFICO 3/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095301,,PACIFICO 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400182,,PACIFICO CLARA 24/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3410000323,,REDDS WICKED APPLE ALE 1/24C,MOLSON COORS BREWING,FMB,Yes
476,FOOD MAXX,81002269099,,RILEYS HEART OF THE VALLEY 6/16C,RILEYS BREWING COMPANY,CRAFT,*
476,FOOD MAXX,81002269134,,RILEYS NEON PALM WC IPA  4/16C,RILEYS BREWING COMPANY,CRAFT,*
476,FOOD MAXX,81002269046,,RILEYS SANCHA HONEY BLONDE ALE 6/12C,RILEYS BREWING COMPANY,CRAFT,*
476,FOOD MAXX,87652900113,,ROGUE COCKTAIL PARTY PACK 8/12C,ROGUE ALES BREWING CO.,RTD,Yes
476,FOOD MAXX,7143934450,,ROLLING ROCK 12/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,7143934030,,ROLLING ROCK 30/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,8066095955,,SAINT PAULI N A 6/12B,ANHEUSER-BUSCH INBEV,NON-ALC,Yes
476,FOOD MAXX,8769201190,,SAMUEL ADAMS JUST THE HAZE NA IPA 6/12C,BOSTON BEER CO,NON-ALC,*
476,FOOD MAXX,8797502650,,SAPPORO PREMIUM DRAFT 1/22C,SAPPORO U.S.A. INC,IMPORT,Yes
476,FOOD MAXX,8797504350,,SAPPORO PREMIUM DRAFT 12/12C,SAPPORO U.S.A. INC,IMPORT,*
476,FOOD MAXX,8797501350,,SAPPORO PREMIUM DRAFT 6/12B,SAPPORO U.S.A. INC,IMPORT,*
476,FOOD MAXX,8769201380,,SAUZA AGAVE COCKTAILS LIME CRUSH  1/24C,BOSTON BEER CO,FMB,*
476,FOOD MAXX,8769201387,,SAUZA AGAVE COCKTAILS LIME CRUSH  6/12C,BOSTON BEER CO,FMB,*
476,FOOD MAXX,8769201441,,SAUZA AGAVE COCKTAILS TROPICAL TWIST  6/12C,BOSTON BEER CO,FMB,*
476,FOOD MAXX,85679300444,,SCHILLING BIG ZESTY GUAVA LEMONADE 1/19C,SCHILLING CIDER COMPANY,CIDER,*
476,FOOD MAXX,85679300453,,SCHILLING CIDER EXCL IMPRL MANGO 6/12C,SCHILLING CIDER COMPANY,CIDER,*
476,FOOD MAXX,85679300427,,SCHILLING EXCELSIOR IMPRERIAL APPLE 6/12C,SCHILLING CIDER COMPANY,CIDER,*
476,FOOD MAXX,7031001689,,SEAGRAM'S ESCAPES HOLA PARADISE VARIETY PACK 12/12B,FIFCO USA,FMB,*
476,FOOD MAXX,7031001354,,SEAGRAMS ESCAPES ITALIAN ICE VARIETY PACK 12/12C,FIFCO USA,FMB,*
476,FOOD MAXX,7031001483,,SEAGRAMS ESCAPES SPIKED JAMAICAN ME HAPPY 1/24C,FIFCO USA,FMB,*
476,FOOD MAXX,7031001687,,SEAGRAM'S ESCAPES SPIKED PASSIONFRUIT LIME AND SALT 1/25.3C,FIFCO USA,FMB,*
476,FOOD MAXX,8043280290,,SEAGRAMS ESCAPES VARIETY PACK 12/11B,FIFCO USA,FMB,Yes
476,FOOD MAXX,7031001244,,SEAGRAM'S ESCAPES VARIETY PACK 12/12C,FIFCO USA,FMB,*
476,FOOD MAXX,8857333024,,SHINER BOCK 1/24C,THE GAMBRINUS COMPANY,CRAFT,*
476,FOOD MAXX,8857333101,,SHINER BOCK 6/12B,THE GAMBRINUS COMPANY,CRAFT,*
476,FOOD MAXX,8857399090,,SHINER DESERT DOZEN VARIETY 12/12C,THE GAMBRINUS COMPANY,CRAFT,*
